Target node	HUGO names	Interaction type	Source	Description	Reference: PMID	Logical rule	pathway
MAP3K1_3	MAP3K1, MAP3K2, MAP3K3	-	p38	Jnk and p38 mapk activation have antagonistic effects in many cases. From a mechanicistic point of view, the p38 mapk pathway can negatively regulate jnk activity at the level of map3ks, either by phosphorylating mlk3 or the tak1 regulatory subunit tab2	20626350	(RAS & !(FOS | JUN | JNK | p38))	ERK
MAP3K1_3	MAP3K1, MAP3K2, MAP3K3	+	RAS	Activation of ras may lead to two distinct ras-dependent pathways involving either a raf1/mek/mapk module or a mekk/sek/sapk module; jnk/sapk binds to the d domain near the nh2 terminus of mekk1 from approximately residues 6270 (9, 10). Pak1 can phosphorylate mekk1 on serine 67 within its jnk/sapk-binding d domain. Phosphorylation of mekk1 on serine 67 alters the state of the d domain, thereby decreasing its affinity for jnk/sapk. Under these conditions jnk/sapk is not recruited into the mekk1 signaling module.	8649450	(RAS & !(FOS | JUN | JNK | p38))	ERK
MDM2	MDM2	+	AKT	From Fumia et al, 2013	23922675	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))	DNA repair
MDM2	MDM2	-	ATM	From Fumia et al, 2013	23922675	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))	DNA repair
MDM2	MDM2	-	ATR	From Fumia et al, 2013	23922675	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))	DNA repair
MDM2	MDM2	+	DAXX	The optimal function of mdm2 requires daxx, which stabilizes mdm2 through the deubiquitinase hausp/usp7 and also directly promotes mdm2's ubiquitin ligase activity towards p53.	23405218	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))	DNA repair
MDM2	MDM2	-	p14ARF	From Fumia et al, 2013	23922675	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))	DNA repair
MDM2	MDM2	+	p53	From Fumia et al, 2013	23922675	(((AKT | p53) & DAXX & !p14ARF & !ATR & !ATM))	DNA repair
MED12	MED12	-	GLI	We propose that activated gli3 physically targets med12 in mediator to reverse mediator-dependent suppression of shh target gene (i.e., Gli1 or cyclin d1) transcription.	17000779	(!GLI)	SHH
MEK1_2	MAP2K1, MAP2K2	+	MAP3K1_3	Signor: MAP3K1,2,3 -> MEK1	11343802	(MAP3K1_3 | RAF | PDK1)	ERK
MEK1_2	MAP2K1, MAP2K2	+	PDK1	Signor: PDK1 -> MEK2	15175348	(MAP3K1_3 | RAF | PDK1)	ERK
MEK1_2	MAP2K1, MAP2K2	+	RAF	Signor: RAF -> MEK1, 2	10359597, 8157000	(MAP3K1_3 | RAF | PDK1)	ERK
Metastasis	output	+	AR_ERG	The overexpression of ERG is one of the key factors in transforming localised, Aggressive cancer into metastatic cancer.	25915839	(Migration & AR_ERG)	Output
Metastasis	output	+	ERG	The overexpression of ERG is one of the key factors in transforming localised, Aggressive cancer into metastatic cancer.	25915839	(Migration & AR_ERG)	Output
Metastasis	output	+	Migration	From Cohen et al, 2015	26528548	(Migration & AR_ERG)	Output
Migration	output	+	AKT	Overall, we have dissected signaling pathways by which Snail may promote cell migration through MAPK signaling or alternatively through PI3K/AKT-Rac1 signaling that involves Snail inhibition of maspin tumor suppressor.	26207671	(((AKT & ERK) | (AKT & ETV1)) & Invasion & EMT)	Output
Migration	output	+	AR	The present report, for the first time, indicates that the extra nuclear AR/FlnA/integrin beta 1 complex is the key by which androgen activates signaling leading to cell migration. 	21359179	(((AKT & ERK) | (AKT & ETV1)) & Invasion & EMT)	Output
Migration	output	+	EMT	From Cohen et al, 2015	26528548	(((AKT & ERK) | (AKT & ETV1)) & Invasion & EMT)	Output
Migration	output	+	ERK	we provide evidence that propagation waves of extracellular signal-related kinase (ERK) mitogen-activated protein kinase activation determine the direction of the collective cell migration. 	29112851	(((AKT & ERK) | (AKT & ETV1)) & Invasion & EMT)	Output
Migration	output	+	ETV1	ETV1 overexpressioni n human LNCaP prostate cancer cells increased cell migration.	23076342	(((AKT & ERK) | (AKT & ETV1)) & Invasion & EMT)	Output
Migration	output	+	Invasion	From Cohen et al, 2015	26528548	(((AKT & ERK) | (AKT & ETV1)) & Invasion & EMT)	Output
mTORC1	MTOR, RICTOR, MLST8, MAPKAP1, DEPTOR, TTI1, TELO2, RPTOR, AKT1S1	+	AKT	Furthermore, pras40 phosphorylation by akt and association with 14-3-3, a cytosolic anchor protein, are crucial for insulin to stimulate mtor. These findings identify pras40 as an important regulator of insulin sensitivity of the akt-mtor pathway and a potential target for the treatment of cancers, insulin resistance and hamartoma syndromes.	17277771	((AKT | (AKT & Rheb)) & !AMPK & !TSC1_2)	mTOR
mTORC1	MTOR, RICTOR, MLST8, MAPKAP1, DEPTOR, TTI1, TELO2, RPTOR, AKT1S1	-	AMPK	AMPK inhibits mTORC1 through two means: first, through phosphorylation of TSC2 to activate its GAP (GTPase-activating protein) activity that converts Rheb into an inactive GDP-bound state, thus switching off mitogenic stimulation of mTORC1 [31], and, secondly, through phosphorylation of raptor at Ser722 and Ser792, which leads to 14-3-3 protein binding and mTORC1 inhibition	23863160	((AKT | (AKT & Rheb)) & !AMPK & !TSC1_2)	mTOR
mTORC1	MTOR, RICTOR, MLST8, MAPKAP1, DEPTOR, TTI1, TELO2, RPTOR, AKT1S1	+	Rheb	These results suggest that Rheb induces alteration in the binding of 4E-BP1 with mTORC1 to regulate mTORC1 activation.	19299511, 19222999	((AKT | (AKT & Rheb)) & !AMPK & !TSC1_2)	mTOR
mTORC1	MTOR, RICTOR, MLST8, MAPKAP1, DEPTOR, TTI1, TELO2, RPTOR, AKT1S1	-	TSC1_2	These findings strongly implicate the tuberin-hamartin tumor suppressor complex as an inhibitor of mtor	12271141	((AKT | (AKT & Rheb)) & !AMPK & !TSC1_2)	mTOR
mTORC2	MTOR, RPTOR, MLST8, PRAS40, DEPTOR, EEF1A1, RICTOR, PRR5	+	AKT	From Fumia et al, 2013	23922675	((!AMPK & RAGS & Rheb) | (AKT & !AMPK & Rheb) | (AKT & !AMPK & RAGS) | (AKT & RAGS & Rheb & !AMPK))	mTOR
mTORC2	MTOR, RPTOR, MLST8, PRAS40, DEPTOR, EEF1A1, RICTOR, PRR5	-	AMPK	From Fumia et al, 2013	23922675	((!AMPK & RAGS & Rheb) | (AKT & !AMPK & Rheb) | (AKT & !AMPK & RAGS) | (AKT & RAGS & Rheb & !AMPK))	mTOR
mTORC2	MTOR, RPTOR, MLST8, PRAS40, DEPTOR, EEF1A1, RICTOR, PRR5	+	RAGS	From Fumia et al, 2013	23922675	((!AMPK & RAGS & Rheb) | (AKT & !AMPK & Rheb) | (AKT & !AMPK & RAGS) | (AKT & RAGS & Rheb & !AMPK))	mTOR
mTORC2	MTOR, RPTOR, MLST8, PRAS40, DEPTOR, EEF1A1, RICTOR, PRR5	+	Rheb	From Fumia et al, 2013	23922675	((!AMPK & RAGS & Rheb) | (AKT & !AMPK & Rheb) | (AKT & !AMPK & RAGS) | (AKT & RAGS & Rheb & !AMPK))	mTOR
MXI1	MXI1	+	HIF1	From Fumia et al, 2013	23922675	(HIF1)	Nutrients
MYC	MYC	+	AR_ERG	ERG is a transcriptional factor that directly regulates EZH2, Oncogene c-Myc and tumor suppressor Nkx3.1 and many other targets in prostate cancer. 	doi:10.1158/1538-7445.AM2015-3661	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	E2F1	From Fumia et al, 2013	23922675	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	ERG	ERG is a transcriptional factor that directly regulates EZH2, Oncogene c-Myc and tumor suppressor Nkx3.1 and many other targets in prostate cancer. 	doi:10.1158/1538-7445.AM2015-3661	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	ERK	From Fumia et al, 2013, Phosphorylation of Ser 62 is required for Ras-induced stabilization of Myc, likely mediated through the action of ERK.	23922675, 11018017	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	FOS	From Fumia et al, 2013	23922675	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	GLI	From Fumia et al, 2013	23922675	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	-	HIF1	From Fumia et al, 2013	23922675	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	JUN	From Fumia et al, 2013	23922675	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	mTORC1	MTORC1 and mTORC2 converge on c-Myc to control metabolic reprogramming in cancer. mTORC1 and mTORC2 conspire to link growth factor receptor–PI3K signaling with c-Myc-dependent metabolic reprogramming by controlling both c-Myc levels and activity 	24856037	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	NF_kB	From Fumia et al, 2013	23922675	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	p38	The jnk pathway is selectively involved in the c-myc-mediated apoptosis and that the apoptotic function of c-myc is directly regulated by jnk pathway through phosphorylation at ser-62 and ser-71.	10551811	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	SHH	In the nucleus, the GLI transcription factors bind DNA and modulate the transcription of a multitude of genes including Fox, Myc, and cyclin D among others that are involved in tissue development, differentiation, epithelial-mesenchymal transition (EMT), and stem cell maintenance	26988232	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC	MYC	+	TCF	From Fumia et al, 2013	23922675	((GLI | ERK | TCF | JUN | FOS | AR_ERG | ERG | NF_kB | SHH) & (mTORC1 | E2F1 | p38) & !HIF1)	ERK
MYC_MAX	MYC, MAX	-	MXI1	From Fumia et al, 2013	23922675	(MYC & !MXI1 & !TGFBR & !SMAD)	ERK
MYC_MAX	MYC, MAX	+	MYC	From Fumia et al, 2013	23922675	(MYC & !MXI1 & !TGFBR & !SMAD)	ERK
MYC_MAX	MYC, MAX	-	SMAD	From Fumia et al, 2013	23922675	(MYC & !MXI1 & !TGFBR & !SMAD)	ERK
MYC_MAX	MYC, MAX	-	TGFBR	From Fumia et al, 2013	23922675	(MYC & !MXI1 & !TGFBR & !SMAD)	ERK
NCOA3	NCOA3	+	p38	P38 MAPK and JNK can phosphorylate multiple sites on SRC-3, including S505, S543, S860, and S867. Our results suggest that several kinases are important for phosphorylating SRC-3 and enhancing its interaction with DNA-dependent transcription factors and other coactivators.	15383283	(!SPOP & p38)	AR
NCOA3	NCOA3	-	SPOP	Mutations in SPOP represent the most common point mutations in primary prostate cancer,with recurrent mutations in SPOP in 6% to 15% of multiple independent cohorts. Wild-type SPOP will bind and promote the degradation of SRC-3,whereas prostate cancer–derived SPOP mutants lose this ability,leading to increased androgen signaling in certain model systems.	24239470	(!SPOP & p38)	AR
NCOR1	NCOR1	-	AKT	Akt-induced phosphorylation of N-CoR at serine 1450 contributes to its misfolded conformational dependent loss (MCDL) in acute myeloid leukemia of the M5 subtype. 	23940660	(!AKT)	AR
NCOR2	NCOR2	-	AKT	Akt-induced phosphorylation of N-CoR at serine 1450 contributes to its misfolded conformational dependent loss (MCDL) in acute myeloid leukemia of the M5 subtype. 	23940660	(!AKT & !FOXO)	AR
NCOR2	NCOR2	-	FOXO	Foxo1 acts to aid displacement of Cs1-associated corepressors (NcoR/Smrt) allowing association of coactivators (Maml1).	18391971	(!AKT & !FOXO)	AR
NF_kB	RELA, RELB, REL, NFKB1, NFKB2	+	DNA_Damage	This study particularly focuses on DNA damage-induced NF-κB signaling cascade and its physiological and pathological significance	28626800	((E_cadherin | IKK | DNA_Damage) & (NCOA3 | PIP3 | Snail))	AKT
NF_kB	RELA, RELB, REL, NFKB1, NFKB2	+	E_cadherin	From Fumia et al, 2013	23922675	((E_cadherin | IKK | DNA_Damage) & (NCOA3 | PIP3 | Snail))	AKT
NF_kB	RELA, RELB, REL, NFKB1, NFKB2	+	IKK	From Fumia et al, 2013	23922675	((E_cadherin | IKK | DNA_Damage) & (NCOA3 | PIP3 | Snail))	AKT
NF_kB	RELA, RELB, REL, NFKB1, NFKB2	+	NCOA3	Identification of six functional in vivo SRC-3 phosphorylation sites. Interestingly, all phosphorylation sites are required for coactivation of estrogen and androgen receptors, but not all sites are required for coactivation of NF-kappaB. 	15383283	((E_cadherin | IKK | DNA_Damage) & (NCOA3 | PIP3 | Snail))	AKT
NF_kB	RELA, RELB, REL, NFKB1, NFKB2	+	PIP3	From Fumia et al, 2013	23922675	((E_cadherin | IKK | DNA_Damage) & (NCOA3 | PIP3 | Snail))	AKT
NF_kB	RELA, RELB, REL, NFKB1, NFKB2	+	Snail	From Fumia et al, 2013	23922675	((E_cadherin | IKK | DNA_Damage) & (NCOA3 | PIP3 | Snail))	AKT
NF1	NF1	-	PKC	From Fumia et al, 2013	23922675	(!PKC)	Nutrients
NKX3_1	NKX3-1	+	AR	NKX3-1 and AR directly regulate each other in a feed-forward regulatory loop.	22083957	(PKC & AR & !ERG & !AR_ERG)	AR
NKX3_1	NKX3-1	-	AR_ERG	Increased expression of ERG or other ETS factors under control of androgen responsive promoter (TMPRSS2) is an inevitable consequence of the fusion events, and it activates transcriptional program that contributes to oncogenesis by upregulating expression of, among others, MYC, EZH2 and SOX9 and repressing NKX3.	25277175	(PKC & AR & !ERG & !AR_ERG)	AR
NKX3_1	NKX3-1	-	ERG	Increased expression of ERG or other ETS factors under control of androgen responsive promoter (TMPRSS2) is an inevitable consequence of the fusion events, and it activates transcriptional program that contributes to oncogenesis by upregulating expression of, among others, MYC, EZH2 and SOX9 and repressing NKX3.	25277175	(PKC & AR & !ERG & !AR_ERG)	AR
NKX3_1	NKX3-1	+	PKC	The NKX3.1 C154T polymorphism codes for a variant protein that contains an arginine-to-cysteine substitution at amino acid 52 (R52C) adjacent to a protein kinase C phosphorylation site at serine 48	11980664	(PKC & AR & !ERG & !AR_ERG)	AR
Nutrients	input	input	0/1	Input of the model		(Nutrients)	Input
p14ARF	CDKN2A	+	E2F1	Ectopic expression of a variety of oncogenes such as Ras, cmyc, E1A and E2F1 upregulates p19ARF expression (mice equivalent of p14ARF ) as part of a checkpoint response that limits cell cycle progression in response to hyperproliferative signals	15878778	(E2F1 & MYC_MAX & RAS)	DNA repair
p14ARF	CDKN2A	+	MYC_MAX	Ectopic expression of a variety of oncogenes such as Ras, cmyc, E1A and E2F1 upregulates p19ARF expression (mice equivalent of p14ARF ) as part of a checkpoint response that limits cell cycle progression in response to hyperproliferative signals	15878778	(E2F1 & MYC_MAX & RAS)	DNA repair
p14ARF	CDKN2A	+	RAS	Ectopic expression of a variety of oncogenes such as Ras, cmyc, E1A and E2F1 upregulates p19ARF expression (mice equivalent of p14ARF ) as part of a checkpoint response that limits cell cycle progression in response to hyperproliferative signals	15878778	(E2F1 & MYC_MAX & RAS)	DNA repair
p15	CDKN2B	+	ZBTB17	From Fumia et al, 2013	23922675	(ZBTB17)	Cell cycle
p21	CDKN1A	-	AKT	From Fumia et al, 2013	23922675	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p21	CDKN1A	-	ERK	Extracellular signal-regulated kinase 2-dependent phosphorylation induces cytoplasmic localization and degradation of p21cip1.	19364816	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p21	CDKN1A	+	HIF1	From Fumia et al, 2013	23922675	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p21	CDKN1A	-	MDM2	Overexpression of hdm2 resulted in a decrease in the level of p21waf1	18292944	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p21	CDKN1A	-	MYC_MAX	From Fumia et al, 2013	23922675	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p21	CDKN1A	+	p53	From Fumia et al, 2013	23922675	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p21	CDKN1A	+	SMAD	From Fumia et al, 2013	23922675	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p21	CDKN1A	-	TERT	From Fumia et al, 2013	23922675	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p21	CDKN1A	+	ZBTB17	From Fumia et al, 2013	23922675	((p53 | SMAD | HIF1 | ZBTB17) & !TERT & !MYC_MAX & !MDM2 & !AKT & !ERK)	Cell cycle
p38	MAPK14	-	ERK	In addition, immunoblot and immunostaining analysis revealed that phosphorylation of erk was increased by treatment with sb203580;whereas pd98059 increased the phosphorylation of p38, which implies a seesaw-like balance between erk and p38 phosphorylation.	18481201	(MAP3K1_3 & !ERK & !GADD45)	ERK
p38	MAPK14	+	GADD45	Both phosphorylation of p38 ty323 and the activity of this phosphorylated species are inhibited by binding gadd45alpha, thus preventing these low-treshold signals from activating p38	15735649	(MAP3K1_3 & !ERK & !GADD45)	ERK
p38	MAPK14	+	MAP3K1_3	We found that mekk1/mekk4 as opposed to ask1, are responsible for trail-induced c-jun nh2-terminal kinase (jnk) or p38 activation,	21152872	(MAP3K1_3 & !ERK & !GADD45)	ERK
p53	TP53	+	Acidosis	In the case of DNA-damage, phosphorylation of both p53 and Mdm2 by the checkpoint kinases ATM, ATR, Chk1 and Chk2 contributes to the dissociation of the Mdm2-p53 complex, leading to enhanced cellular p53 levels that primarily accumulate in the nucleus.	19879762	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p53	TP53	-	BCL2	From Fumia et al, 2013	23922675	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p53	TP53	+	Carcinogen	In the case of DNA-damage, phosphorylation of both p53 and Mdm2 by the checkpoint kinases ATM, ATR, Chk1 and Chk2 contributes to the dissociation of the Mdm2-p53 complex, leading to enhanced cellular p53 levels that primarily accumulate in the nucleus.	19879762	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p53	TP53	+	CHK1_2	From Fumia et al, 2013	23922675	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p53	TP53	+	HIF1	From Fumia et al, 2013	23922675	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p53	TP53	-	HSPs	p53 stabilization depends on the impaired ubiquitination due to both the loss of wt p53 function and the hsp90 association	10557093, 11507088, 12427754, 21460846	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p53	TP53	-	MDM2	From Fumia et al, 2013	23922675	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p53	TP53	+	p14ARF	P14/p19 ARF functions by antagonizing MDM2 and thereby stabilizing p53 (refs. 17,18). Thus, loss of p14/p19ARF impairs p53-mediated growth arrest and/or apoptosis in response to activated oncogenes	12091906	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p53	TP53	+	p38	P38 regulates p53, but also in p53-defective tumor cells rewire their checkpoint response and become dependent in the p38/mk2 pathway in mcf-7 cells, p38 kinase activated p53 more effectively than other members of the ras pathway. p53 and p38 kinase exist in the same physical complex, and co-expression of p38 stabilized p53 protein. In vitro, p38 kinase phosphorylated p53 at ser33 and ser46, a newly identified site.	10581258	((Acidosis | CHK1_2 | p38 | HIF1) & !BCL2 & !MDM2 & !HSPs & !Snail)	DNA repair
p70S6kab	RPS6KB1, RPS6KB2	+	mTORC2	From Fumia et al, 2013	23922675	(mTORC2 | PDK1)	AKT
p70S6kab	RPS6KB1, RPS6KB2	+	PDK1	From Fumia et al, 2013	23922675	(mTORC2 | PDK1)	AKT
p90RSK	RPS6KA1	+	ERK	From Fumia et al, 2013	23922675	(PDK1 | ERK)	AKT
p90RSK	RPS6KA1	+	PDK1	From Fumia et al, 2013	23922675	(PDK1 | ERK)	AKT
PDK1	PDK1	+	HIF1	From Fumia et al, 2013	23922675	(HIF1 | MYC_MAX | PIP3)	AKT
PDK1	PDK1	+	MYC_MAX	From Fumia et al, 2013	23922675	(HIF1 | MYC_MAX | PIP3)	AKT
PDK1	PDK1	+	PIP3	From Fumia et al, 2013	23922675	(HIF1 | MYC_MAX | PIP3)	AKT
PHDs	EGLN1, EGLN2, EGLN3	-	Hypoxia	From Fumia et al, 2013	23922675	(!Hypoxia & ROS)	Nutrients
PHDs	EGLN1, EGLN2, EGLN3	+	ROS	From Fumia et al, 2013	23922675	(!Hypoxia & ROS)	Nutrients
PI3K	PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4, PIK3R5, PIK3R6, PIK3C2A, PIK3C2B, PIK3C2G, PIK3C6	+	EGFR	P85alpha promotes nucleolin transcription and subsequently enhances EGFR mRNA stability and EGF-induced malignant cellular transformation.	26918608	(TGFBR | FRS2 | EGFR)	AKT
PI3K	PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4, PIK3R5, PIK3R6, PIK3C2A, PIK3C2B, PIK3C2G, PIK3C4	+	FRS2	Activated FRS2α initiates downstream signalling through the RAS–MAPK pathway or the PI3K–AKT pathway	11353842	(TGFBR | FRS2 | EGFR)	AKT
PI3K	PIK3CA, PIK3CB, PIK3CG, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIK3R4, PIK3R5, PIK3R6, PIK3C2A, PIK3C2B, PIK3C2G, PIK3C5	+	TGFBR	These studies revealed that PI 3-kinase is associated in vivo with both TGF-_ receptor subtypes and that TGF-_1 stimulation enhances PI 3-kinase activity associated with type I TGF-_ receptor in hASM cells.	9435577	(TGFBR | FRS2 | EGFR)	AKT
PIP3	PIK3CA	-	p53	From Fumia et al, 2013	23922675	((!p53 & PI3K & !PTEN) | (!p53 & PI3K))	AKT
PIP3	PIK3CA	+	PI3K	From Fumia et al, 2013	23922675	((!p53 & PI3K & !PTEN) | (!p53 & PI3K))	AKT
PIP3	PIK3CA	-	PTEN	From Fumia et al, 2013	23922675	((!p53 & PI3K & !PTEN) | (!p53 & PI3K))	AKT
PKC	PRKD3, PRKD2, PKN3, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PKN1, PKN2, PRKD1, PRKCQ, PRKCZ	+	RTK	From Fumia et al, 2013	23922675	(RTK & WNT)	WNT
PKC	PRKD3, PRKD2, PKN3, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PKN1, PKN2, PRKD1, PRKCQ, PRKCZ	+	WNT	From Fumia et al, 2013	23922675	(RTK & WNT)	WNT
Proliferation	output	+	CyclinB	Read-out from model	output	(CyclinB | CyclinD)	Output
Proliferation	output	+	CyclinD	Read-out from model	output	(CyclinB | CyclinD)	Output
PTCH1	PTCH1	+	GLI	Gli activators bind to gaccaccca motif to regulate transcription of gli1, ptch1, ptch2, hhip1, mycn, ccnd1, ccnd2, bcl2, cflar, foxf1, foxl1, prdm1 (blimp1), jag2, grem1, and follistatin	19860666	(!SHH & GLI)	SHH
PTCH1	PTCH1	-	SHH	In the responding cell, active Hedgehog binds to its receptor Patched, a 12-pass transmembrane protein, which frees Smoothened, an adjacent 7-pass transmembrane protein, for downstream signaling.Thus, a balance is created by the antagonism of Hedgehog and Patched, whose relative concentrations alternate with respect to each other.	14556242	(!SHH & GLI)	SHH
PTEN	PTEN	+	FGFR3	Fgfrs phosphorylate pten at tyrosine 240	22891331	((!NF_kB & !Snail & FGFR3 & p53) | (!NF_kB & !Snail & p53))	AKT
PTEN	PTEN	-	NF_kB	NF-κB activation was necessary and sufficient for inhibition of PTEN expression	14729949	((!NF_kB & !Snail & FGFR3 & p53) | (!NF_kB & !Snail & p53))	AKT
PTEN	PTEN	+	p53	Transgenic ERG expression in mice blocked Pten/Trp53 alteration-induced decrease of AR expression and downstream luminal epithelial genes	doi: 10.1158/1078-0432.CCR-18-0653	((!NF_kB & !Snail & FGFR3 & p53) | (!NF_kB & !Snail & p53))	AKT
PTEN	PTEN	-	Snail	Snail prevents the expression of epithelium-specific genes such as PTEN, Muc1, Claudin, and Occludin as well as some nuclear factor receptors (Vitamin D receptor, HNF-1α).	PMC2930904	((!NF_kB & !Snail & FGFR3 & p53) | (!NF_kB & !Snail & p53))	AKT
RAF	RAF1, ARAF, BRAF	+	EZH2	EZH2 regulates tumor invasion via the transcriptional repression of the Raf-1 kinase inhibitor protein RKIP (PEBP1).	22505648	(!EZH2 & RAS) | (EZH2)	ERK
RAF	RAF1, ARAF, BRAF	+	RAS	From Fumia et al, 2013	23922675	(!EZH2 & RAS) | (EZH2)	ERK
RAGS	RAG1, RAG2	-	Hypoxia	From Fumia et al, 2013	23922675	(!Hypoxia & Nutrients)	mTOR
RAGS	RAG1, RAG2	+	Nutrients	From Fumia et al, 2013	23922675	(!Hypoxia & Nutrients)	mTOR
RAS	KRAS, RASA1, HRAS, NRAS	+	EGFR	We conclude that tyr-460 is a site of gap tyrosine phosphorylation by the egf receptor in vitro and likely in vivo. Gap tyr-460 is located immediately c terminal to the second gap sh2 domain, suggesting that its phosphorylation might have a role in regulating protein-protein interactions.	1850098	(EGFR | TGFBR | FRS2 | FGFR3)	ERK
RAS	KRAS, RASA1, HRAS, NRAS	+	FRS2	Activated FRS2α initiates downstream signalling through the RAS–MAPK pathway or the PI3K–AKT pathway	11353842	(EGFR | TGFBR | FRS2 | FGFR3)	ERK
RAS	KRAS, RASA1, HRAS, NRAS	+	FGFR3	FGFR3 activates RAS through FRS2	24052019	(EGFR | TGFBR | FRS2 | FGFR3)	ERK
RAS	KRAS, RASA1, HRAS, NRAS	+	RTK	From Fumia et al, 2013	23922675	(EGFR | TGFBR | FRS2 | FGFR3)	ERK
RAS	KRAS, RASA1, HRAS, NRAS	+	TGFBR	In addition to the SMAD dependent pathway, [...] RAS [...] are regulated by TGF-β.	29051866	(EGFR | TGFBR | FRS2 | FGFR3)	ERK
RB1	RB1	-	AMPK	From Traynard et al, 2016	27587700	(!CyclinB & !CyclinD & CHK1_2 & !p53 & !AMPK)	Cell cycle
RB1	RB1	+	CHK1_2	This study reveals that chk1-mediated phosphorylation of rassf1a, at serine 184, plays an important role in cell-cycle regulation	24197116	(!CyclinB & !CyclinD & CHK1_2 & !p53 & !AMPK)	Cell cycle
